TEAM,REB,AST,TOV,STL,BLK,PTS
Atlanta Hawks,43.7,28.2,16.0,9.2,4.9,119.3
Boston Celtics,43.7,24.0,12.8,6.9,3.6,107.2
Brooklyn Nets,43.7,27.1,15.0,8.0,5.6,112.2
Charlotte Hornets,45.2,26.8,13.3,8.8,5.3,114.2
Chicago Bulls,46.1,28.9,12.6,8.1,5.1,119.4
Cleveland Cavaliers,43.5,25.6,14.5,7.8,4.4,112.4
Dallas Mavericks,45.3,27.1,13.2,8.1,4.6,115.4
Denver Nuggets,42.5,29.0,13.0,8.7,5.1,116.9
Detroit Pistons,42.5,24.8,15.1,8.9,5.0,113.6
Golden State Warriors,44.1,25.9,15.7,7.6,5.4,110.5
Houston Rockets,42.1,23.5,14.3,7.9,5.7,109.8
Indiana Pacers,45.0,26.0,15.0,7.2,4.5,115.1
LA Clippers,41.5,25.7,15.0,8.8,4.3,108.2
Los Angeles Lakers,43.0,27.3,13.7,8.2,4.2,112.2
Memphis Grizzlies,43.5,27.0,15.1,8.7,5.5,116.9
Miami Heat,44.7,26.5,13.8,7.5,4.7,110.0
Milwaukee Bucks,45.3,26.4,12.9,7.3,3.8,113.0
Minnesota Timberwolves,42.9,24.8,14.7,8.4,4.5,109.3
New Orleans Pelicans,45.7,28.6,14.0,9.0,5.2,119.3
New York Knicks,41.8,25.2,14.5,7.0,5.0,111.7
Oklahoma City Thunder,44.9,24.6,17.0,6.7,4.8,107.6
Orlando Magic,42.1,22.8,16.2,7.7,4.4,105.5
Philadelphia 76ers,45.5,28.3,16.0,7.4,5.1,115.8
Phoenix Suns,44.2,27.3,12.2,8.5,4.0,116.6
Portland Trail Blazers,44.2,26.2,15.5,9.5,5.5,113.9
Sacramento Kings,42.3,27.0,13.9,7.9,4.3,115.3
San Antonio Spurs,46.2,28.0,13.7,8.1,4.3,116.7
Toronto Raptors,45.0,25.9,15.1,9.2,5.9,115.2
Utah Jazz,44.2,29.6,11.8,9.8,6.4,121.2
Washington Wizards,48.9,28.5,13.3,9.1,5.2,120.4
